y_actual,y_pred
0,5
0,5
0,5
0,11
0,5
0,5
0,11
0,9
0,5
0,11
0,13
0,5
0,11
0,11
0,5
0,5
0,13
0,3
0,13
0,13
0,5
0,13
0,11
0,7
0,11
0,11
0,11
0,16
0,5
0,5
0,7
0,5
0,5
0,11
0,7
0,5
0,11
0,11
0,7
0,11
0,11
0,11
0,5
0,11
0,13
0,5
0,5
0,11
0,3
0,5
0,11
0,11
0,5
0,11
0,11
0,5
0,9
0,11
0,5
0,5
0,5
0,13
0,13
0,5
0,11
0,11
0,5
0,16
0,5
0,11
0,7
0,5
0,11
0,5
0,5
0,4
0,7
0,13
0,13
0,11
0,13
0,5
0,7
0,7
0,5
0,11
0,11
0,5
0,5
0,3
0,11
0,7
0,11
0,13
0,13
0,13
0,13
0,13
0,5
0,5
0,9
0,11
0,11
0,16
0,11
0,5
0,11
0,3
0,13
0,5
0,11
0,13
0,11
0,5
0,11
0,5
0,13
0,9
0,11
0,11
0,13
0,11
0,13
0,11
0,3
0,11
0,9
0,12
0,5
0,5
0,13
0,13
0,7
0,0
0,5
0,16
0,11
0,5
0,11
0,5
0,11
0,5
0,11
0,3
0,11
0,7
0,5
0,3
0,11
0,11
0,5
0,5
0,5
0,3
0,5
0,7
0,11
0,11
0,5
0,11
0,11
0,11
0,11
0,9
0,5
0,13
0,3
0,11
0,5
0,7
0,13
0,7
0,13
0,5
0,13
0,5
0,3
0,3
0,13
0,11
0,5
0,13
0,5
0,11
0,5
0,13
0,0
0,9
0,3
0,11
0,6
0,5
0,13
0,3
0,11
0,5
0,16
0,3
0,11
0,7
0,0
0,3
0,11
0,11
0,11
0,9
0,11
0,11
0,11
0,11
0,3
0,13
0,9
0,13
0,3
0,5
0,7
0,11
0,11
0,13
0,3
0,11
0,16
0,3
0,3
0,5
0,16
0,13
0,5
0,11
0,11
0,5
0,5
0,5
0,11
0,11
0,5
0,5
0,13
0,3
0,13
0,5
0,3
0,16
0,16
0,7
0,5
0,5
0,11
0,5
0,5
0,5
0,16
0,11
0,7
0,5
0,5
0,11
0,5
0,13
0,5
0,5
0,5
0,13
0,11
0,5
0,3
0,11
0,5
0,11
0,11
0,11
0,3
0,5
0,13
0,11
0,11
0,5
0,11
0,5
0,7
0,11
0,7
0,11
0,11
0,3
0,11
0,13
0,7
0,5
0,13
0,9
0,11
0,13
0,11
0,3
0,5
0,11
0,1
0,5
0,13
0,7
0,5
0,11
0,11
0,13
0,11
0,3
0,5
0,11
0,11
0,3
0,3
0,5
0,11
0,11
0,11
0,11
0,11
0,11
0,11
0,5
0,5
0,5
0,13
0,3
0,7
0,11
0,11
0,11
0,11
0,5
0,11
0,11
0,5
0,5
0,5
0,13
0,11
0,13
0,5
0,11
0,13
0,13
0,11
0,5
0,11
0,13
0,5
0,3
0,11
0,11
0,11
0,11
0,11
0,11
0,9
0,11
0,16
0,13
0,13
0,11
0,12
0,16
0,13
0,9
0,13
0,5
0,11
0,11
0,13
0,11
0,5
0,3
0,1
0,11
0,5
0,13
0,11
0,3
0,3
0,11
0,3
0,5
0,5
0,13
0,11
0,5
0,5
0,13
0,11
0,16
0,11
0,5
0,13
0,5
0,3
0,11
0,5
0,9
0,11
0,13
0,11
0,5
0,7
0,13
0,5
0,11
0,13
0,5
0,5
0,13
0,5
0,11
0,9
0,9
0,5
0,11
0,11
0,11
0,5
0,3
0,5
0,3
0,11
0,11
0,11
0,11
0,11
0,5
0,11
0,11
0,5
0,11
0,3
0,7
0,7
0,5
0,9
0,11
0,16
0,11
0,11
0,5
0,11
0,5
0,13
0,11
0,5
0,11
0,16
0,11
0,5
0,13
0,11
0,11
0,5
0,11
0,11
0,5
0,13
0,7
0,11
0,16
0,9
0,13
0,13
0,13
0,5
0,11
0,5
0,5
0,7
0,5
0,11
0,11
0,11
0,9
0,9
0,11
0,5
0,3
0,13
0,5
0,11
0,7
0,4
0,11
0,5
0,5
0,13
0,5
0,3
0,11
0,5
0,11
0,5
0,11
0,13
0,5
0,9
0,7
0,3
0,13
0,5
0,5
0,4
0,13
0,11
0,13
0,11
0,11
0,3
0,5
0,5
0,11
0,5
0,13
0,3
0,7
0,13
0,11
0,11
0,7
0,11
0,5
0,13
0,5
0,11
0,5
0,5
0,7
0,7
0,11
0,5
0,7
0,13
0,11
0,11
0,11
0,7
0,11
0,11
0,11
0,3
0,11
0,3
0,5
0,11
0,11
0,3
0,0
0,11
0,3
0,2
0,11
0,13
0,5
0,11
0,11
0,11
0,13
0,3
0,13
0,11
0,5
0,11
0,13
0,5
0,3
0,3
0,11
0,11
0,3
0,5
0,5
0,1
0,5
0,11
