id,category
1,3
2,8
3,7
4,1
5,5
6,0
7,10
8,0
9,1
10,0
11,17
12,9
13,15
14,4
15,3
16,3
17,1
18,9
19,9
20,17
21,12
22,0
23,16
24,12
25,4
26,6
27,11
28,1
29,1
30,7
31,7
32,7
33,5
34,6
35,4
36,0
37,13
38,8
39,7
40,4
41,16
42,5
43,4
44,6
45,16
46,9
47,5
48,10
49,3
50,9
51,7
52,11
53,1
54,2
55,6
56,6
57,10
58,8
59,0
60,4
61,13
62,0
63,9
64,17
65,13
66,8
67,3
68,14
69,13
70,3
71,5
72,12
73,0
74,6
75,3
76,0
77,0
78,4
79,9
80,6
81,5
82,3
83,7
84,14
85,11
86,4
87,11
88,11
89,6
90,12
91,5
92,10
93,6
94,1
95,11
96,8
97,15
98,3
99,0
100,9
101,1
102,4
103,2
104,0
105,13
106,5
107,0
108,15
109,0
110,13
111,5
112,6
113,1
114,12
115,12
116,0
117,8
118,2
119,0
120,12
121,11
122,11
123,15
124,7
125,13
126,1
127,5
128,0
129,15
130,15
131,6
132,10
133,11
134,3
135,10
136,1
137,0
138,0
139,11
140,1
141,4
142,8
143,2
144,8
145,7
146,6
147,9
148,17
149,14
150,10
151,16
152,8
153,9
154,12
155,14
156,9
157,9
158,0
159,7
160,10
161,7
162,3
163,2
164,10
165,10
166,11
167,13
168,3
169,6
170,1
171,9
172,5
173,9
174,8
175,8
176,16
177,10
178,2
179,6
180,0
181,5
182,0
183,0
184,6
185,9
186,6
187,4
188,3
189,10
190,1
191,2
192,5
193,12
194,10
195,11
196,7
197,5
198,12
199,1
200,11
201,7
202,7
203,7
204,4
205,11
206,6
207,11
208,6
209,10
210,7
211,10
212,14
213,11
214,16
215,11
216,1
217,3
218,4
219,2
220,14
221,17
222,11
223,7
224,11
225,2
226,8
227,17
228,7
229,16
230,9
231,9
232,7
233,10
234,7
235,0
236,9
237,7
238,5
239,0
240,2
241,0
242,10
243,1
244,6
245,8
246,5
247,4
248,17
249,10
250,4
251,2
252,8
253,17
254,5
255,10
256,14
257,2
258,6
259,16
260,4
261,4
262,6
263,7
264,10
265,3
266,10
267,13
268,11
269,5
270,7
271,12
272,13
273,9
274,0
275,13
276,9
277,0
278,3
279,15
280,4
281,4
282,0
283,0
284,15
285,6
286,17
287,12
288,8
289,16
290,10
291,5
292,17
293,1
294,15
295,9
296,9
297,4
298,13
299,5
300,13
301,10
302,3
303,1
304,14
305,4
306,6
307,0
308,8
309,10
310,6
311,6
312,9
313,7
314,7
315,14
316,5
317,4
318,8
319,5
320,1
321,4
322,5
323,14
324,10
325,12
326,10
327,9
328,0
329,16
330,5
331,0
332,14
333,7
334,1
335,13
336,9
337,14
338,5
339,4
340,1
341,2
342,13
343,13
344,12
345,2
346,4
347,10
348,7
349,15
350,6
351,0
352,3
353,7
354,7
355,12
356,9
357,1
358,4
359,16
360,3
361,5
362,0
363,0
364,13
365,12
366,7
367,0
368,0
369,5
370,4
371,16
372,7
373,6
374,5
375,6
376,1
377,12
378,4
379,9
380,15
381,0
382,3
383,2
384,5
385,16
386,10
387,14
388,1
389,2
390,15
391,8
392,17
393,17
394,8
395,12
396,11
397,7
398,13
399,8
400,6
401,1
402,17
403,10
404,16
405,2
406,12
407,2
408,10
409,1
410,0
411,3
412,3
413,9
414,10
415,11
416,1
417,14
418,10
419,14
420,6
421,12
422,5
423,10
424,0
425,14
426,9
427,11
428,6
429,6
430,1
431,3
432,12
433,12
434,8
435,0
436,3
437,2
438,13
439,3
440,1
441,0
442,1
443,2
444,13
445,5
446,13
447,3
448,0
449,13
450,7
451,7
452,6
453,5
454,9
455,5
456,13
457,15
458,2
459,6
460,4
461,0
462,0
463,14
464,11
465,2
466,4
467,6
468,7
469,15
470,11
471,17
472,12
473,13
474,15
